id,model,variant,temperature,question,reference,prediction,latency,pred_len
8167,google/gemini-2.5-flash-lite,detailed,0.3,"Как называлось первое устройство, использующееся только в качестве микрофона?",угольный микрофон Эдисона,угольный микрофон Эдисона,0.6197316646575928,25
36561,google/gemini-2.5-flash-lite,detailed,0.3,В каком году было подписано соглашение между MasterCard International и европейской системой Eurocard?,В 1968 г.,1968,0.4045894145965576,4
58300,google/gemini-2.5-flash-lite,detailed,0.3,При какое температуре происходит возбуждение вращательных уровней молекулы CO?,в несколько десятков кельвин,несколько десятков кельвин,0.4077327251434326,26
16443,google/gemini-2.5-flash-lite,detailed,0.3,С помощью чего могут быть изменены вариации ВМП?,При помощи спутниковой альтиметрии.,спутниковой альтиметрии,0.5166058540344238,23
49387,google/gemini-2.5-flash-lite,detailed,0.3,Какие есть виды смешанного состава облаков,"кучево-дождевые, слоисто-дождевые, высоко-слоистые","кучево-дождевые, слоисто-дождевые, высоко-слоистые",0.39826083183288574,50
47221,google/gemini-2.5-flash-lite,detailed,0.3,Что такое донорство крови и ее компонентов?,добровольная сдача крови,"добровольная сдача крови и (или) её компонентов донорами, а также мероприятия, направленные на организацию и обеспечение безопасности заготовки крови и её компонентов",0.5729355812072754,166
79474,google/gemini-2.5-flash-lite,detailed,0.3,Как у других особей могут быть распределены побелевшие участки?,Несимметрично.,несимметрично,0.5639667510986328,13
83826,google/gemini-2.5-flash-lite,detailed,0.3,ктоо завоевал Пиренейский полуостров?,римлянами,римляне,0.40294861793518066,7
34127,google/gemini-2.5-flash-lite,detailed,0.3,Когда возрастают агентские издержки?,При переходе к понижающей фазе деловой активности,при переходе к понижающей фазе деловой активности,0.5636744499206543,49
28839,google/gemini-2.5-flash-lite,detailed,0.3,Чего требуют от культуристов высокие темпы восстановления и роста мышц?,соблюдения специализированной диеты,специализированной диеты,1.0782196521759033,24
41551,google/gemini-2.5-flash-lite,detailed,0.3,В чем могут наблюдаться точно такие же феномены?,В свободном программном обеспечении,В свободном программном обеспечении,0.435697078704834,35
23146,google/gemini-2.5-flash-lite,detailed,0.3,От чего зависело время нахождения под водой подводной лодки?,от заряда батарей и запаса кислорода,от заряда батарей и запаса кислорода,0.37952637672424316,36
61553,google/gemini-2.5-flash-lite,detailed,0.3,Какое название получила группа диффеоморфизмов?,имя групп Ли,группы Ли,0.6199162006378174,9
12830,google/gemini-2.5-flash-lite,detailed,0.3,Какая система в 1920 году после установления советской власти в Азербайджане была значительно перестроена?,финансово-кредитная система,финансово-кредитная система,0.6354339122772217,27
7518,google/gemini-2.5-flash-lite,detailed,0.3,С чем взаимосвязано распространение гена светлой кожи SLC24A5 по Центральной и Южной Европе?,миграцией неолитических земледельцев с Ближнего Востока,миграцией неолитических земледельцев с Ближнего Востока,0.38156938552856445,55
59283,google/gemini-2.5-flash-lite,detailed,0.3,Что может быть местом совершения сделок спот?,Межбанковский валютный рынок,"межбанковский валютный рынок, фондовые и иные биржи, внебиржевые рынки",0.4166395664215088,70
24823,google/gemini-2.5-flash-lite,detailed,0.3,Какая марка автомобилей производится с использованием большого количества труда и только некоторых станков общего назначения?,Лотус,Лотус,0.4190967082977295,5
51886,google/gemini-2.5-flash-lite,detailed,0.3,Какой формат экрана используется в телевидении высокой чёткости?,16:9,16:9,0.39107322692871094,4
1015,google/gemini-2.5-flash-lite,detailed,0.3,Что вдохновило Байрона на сочинение Шильонского узника ?,История Шильонского замка,История Шильонского замка,0.5486464500427246,25
40635,google/gemini-2.5-flash-lite,detailed,0.3,К кому перешло лидерство в области реактивной пассажирской авиации,к Советскому Союзу с авиалайнером Ту-104,Советскому Союзу и США,0.5484306812286377,22
40076,google/gemini-2.5-flash-lite,detailed,0.3,Что стало причиной упадка города?,море продолжило отступать,море продолжило отступать от города,0.5427203178405762,35
47702,google/gemini-2.5-flash-lite,detailed,0.3,Когда в Исландии введен запрет на получение иностранных пожертвований для политических партий?,В 1978 году.,1978,0.5553638935089111,4
48941,google/gemini-2.5-flash-lite,detailed,0.3,Где Дилан навестил Боба?,В психлечебнице,в психлечебнице,0.5226290225982666,15
22331,google/gemini-2.5-flash-lite,detailed,0.3,Какими были отношения Бунина и Ходасевича до переезда во Францию?,поверхностными,поверхностными,1.1737473011016846,14
49,google/gemini-2.5-flash-lite,detailed,0.3,Какую температуру пламени может достигать ацетилен при сгорании в кислороде?,3150 °C,3150 °C,0.616182804107666,7
31677,google/gemini-2.5-flash-lite,detailed,0.3,Чем оно дополняется?,Творческой самобытностью художника,творческой самобытностью художника,0.4139559268951416,34
16005,google/gemini-2.5-flash-lite,detailed,0.3,Как звучало первое письменное упоминание названия чешского языка на латинском языке?,lingua Sclavonica,lingua Sclavonica,0.40134429931640625,17
55523,google/gemini-2.5-flash-lite,detailed,0.3,Что такое конвекция?,Перенос тепла теплопроводностью.,перенос тепла в самой материи,0.45682787895202637,29
11530,google/gemini-2.5-flash-lite,detailed,0.3,Во сколько раз увеличился капитал в 1914 году?,в шесть раз,в шесть раз,0.3705739974975586,11
42356,google/gemini-2.5-flash-lite,detailed,0.3,Кем представлены головоногие?,примитивными наутилоидами,двужаберные и наутилоидеи,0.4104738235473633,25
33481,google/gemini-2.5-flash-lite,detailed,0.3,Какую шерсть перерабптывают По аппаратной системе прядения,короткую шерсть,короткую шерсть,0.6032192707061768,15
29396,google/gemini-2.5-flash-lite,detailed,0.3,Какова длина микровиллей?,2/3 длины жгутика,2/3 длины жгутика,0.5229389667510986,17
69135,google/gemini-2.5-flash-lite,detailed,0.3,"Что, кроме объективной информации, позволяет передавать искусство?","эмоции, настроение, чувства","эмоции, настроение, чувства",0.613739013671875,27
68109,google/gemini-2.5-flash-lite,detailed,0.3,"Для чего Ивану Грозному нужна была крепость, сооруженная разборно-сборным способом?",в качестве опорной базы перед походом на Казань,опорная база перед походом на Казань,0.40300631523132324,36
3010,google/gemini-2.5-flash-lite,detailed,0.3,Что нужно было сделать нацистскому правительству после упразднения профсоюзов?,облегчить рабочие условия и улучшить индустриальные отношения,облегчить рабочие условия и улучшить индустриальные отношения,0.40817809104919434,61
32818,google/gemini-2.5-flash-lite,detailed,0.3,Что такое метромост?,"мост, по которому проходит линия метрополитена.","мост, по которому проходит линия метрополитена",0.6189193725585938,46
10831,google/gemini-2.5-flash-lite,detailed,0.3,Где всё чаще требуется понимание функций мозга?,"в психологической теории и практике, особенно в области искусственного интеллекта, нейропсихологии, и когнитивной нейробиологии.","искусственном интеллекте, нейропсихологии, и когнитивной нейробиологии",0.41748666763305664,70
80738,google/gemini-2.5-flash-lite,detailed,0.3,Какие народы оказали влияние на этногенез финикийцев?,индоевропейские народы моря,индоевропейские народы моря,0.6064567565917969,27
79771,google/gemini-2.5-flash-lite,detailed,0.3,На сколько данный вид морозоустойчив?,выдерживает понижения температуры до −20 °С,−20 °С,0.38405847549438477,6
7669,google/gemini-2.5-flash-lite,detailed,0.3,От чего не зависит или слабо зависит скорость накопления мутаций в данном гене?,от действия естественного отбора,действия естественного отбора,0.9468872547149658,29
65759,google/gemini-2.5-flash-lite,detailed,0.3,Как часто одиночные осы-бембексы приносят своим личинкам по несколько убитых мух?,ежедневно,ежедневно,0.5221357345581055,9
8218,google/gemini-2.5-flash-lite,detailed,0.3,Когда происходит устойчивое залегание снежного покрова в Гомеле?,с 20 декабря по 15 марта,с 20 декабря по 15 марта,0.5309617519378662,24
45169,google/gemini-2.5-flash-lite,detailed,0.3,От пожеланий кого на практике зависит исполнение требований нормативов по оборудованию подземных метрополитенов,заказчика,заказчика,0.4939429759979248,9
50269,google/gemini-2.5-flash-lite,detailed,0.3,"в какое время Федеральный резервный банк Бостона, в рамках Федеральной резервной системы, способствует ценовой стабильности и устойчивого экономического роста в Новой Англии и нации?",В настоящее время,В настоящее время,0.4959852695465088,17
82234,google/gemini-2.5-flash-lite,detailed,0.3,Что помимо громадного научного и исторического значения имеет наследие Леонардо да Винчи?,художественную ценность,художественную ценность,0.3838968276977539,23
3717,google/gemini-2.5-flash-lite,detailed,0.3,Кто выступает в поддержку фискальной политики?,представители кейнсианской мысли,кейнсианцы,0.47298574447631836,10
35675,google/gemini-2.5-flash-lite,detailed,0.3,"Какой окончательный итог подводят следователи, если видят противоположное направление в положении тела и веревки?",имело место убийство,убийство,0.47535157203674316,8
23933,google/gemini-2.5-flash-lite,detailed,0.3,Сколько лет назад вымерли животные из ряда характерных для плейстоценовой фауны родов?,10—12 тыс. лет назад,10—12 тыс,0.42645812034606934,9
