id,model,variant,temperature,question,reference,prediction,latency,pred_len
47221,google/gemini-2.5-flash-lite,detailed,0.7,Что такое донорство крови и ее компонентов?,добровольная сдача крови,"добровольная сдача крови и (или) её компонентов донорами, а также мероприятия, направленные на организацию и обеспечение безопасности заготовки крови и её компонентов",0.859670877456665,166
79474,google/gemini-2.5-flash-lite,detailed,0.7,Как у других особей могут быть распределены побелевшие участки?,Несимметрично.,несимметрично,0.42331767082214355,13
83826,google/gemini-2.5-flash-lite,detailed,0.7,ктоо завоевал Пиренейский полуостров?,римлянами,римляне,0.3426532745361328,7
34127,google/gemini-2.5-flash-lite,detailed,0.7,Когда возрастают агентские издержки?,При переходе к понижающей фазе деловой активности,при переходе к понижающей фазе деловой активности,0.39111804962158203,49
28839,google/gemini-2.5-flash-lite,detailed,0.7,Чего требуют от культуристов высокие темпы восстановления и роста мышц?,соблюдения специализированной диеты,специализированной диеты,0.368450403213501,24
41551,google/gemini-2.5-flash-lite,detailed,0.7,В чем могут наблюдаться точно такие же феномены?,В свободном программном обеспечении,В свободном программном обеспечении,0.45963001251220703,35
23146,google/gemini-2.5-flash-lite,detailed,0.7,От чего зависело время нахождения под водой подводной лодки?,от заряда батарей и запаса кислорода,запаса батарей и кислорода,0.4571511745452881,26
61553,google/gemini-2.5-flash-lite,detailed,0.7,Какое название получила группа диффеоморфизмов?,имя групп Ли,группы Ли,0.6165690422058105,9
12830,google/gemini-2.5-flash-lite,detailed,0.7,Какая система в 1920 году после установления советской власти в Азербайджане была значительно перестроена?,финансово-кредитная система,финансово-кредитная система,0.555018424987793,27
7518,google/gemini-2.5-flash-lite,detailed,0.7,С чем взаимосвязано распространение гена светлой кожи SLC24A5 по Центральной и Южной Европе?,миграцией неолитических земледельцев с Ближнего Востока,миграцией неолитических земледельцев с Ближнего Востока,0.5167679786682129,55
59283,google/gemini-2.5-flash-lite,detailed,0.7,Что может быть местом совершения сделок спот?,Межбанковский валютный рынок,"межбанковский валютный рынок, фондовые и иные биржи, внебиржевые рынки",0.40511560440063477,70
24823,google/gemini-2.5-flash-lite,detailed,0.7,Какая марка автомобилей производится с использованием большого количества труда и только некоторых станков общего назначения?,Лотус,Лотус,0.512711763381958,5
51886,google/gemini-2.5-flash-lite,detailed,0.7,Какой формат экрана используется в телевидении высокой чёткости?,16:9,16:9,0.412733793258667,4
1015,google/gemini-2.5-flash-lite,detailed,0.7,Что вдохновило Байрона на сочинение Шильонского узника ?,История Шильонского замка,Шильонский замок,0.8631072044372559,16
40635,google/gemini-2.5-flash-lite,detailed,0.7,К кому перешло лидерство в области реактивной пассажирской авиации,к Советскому Союзу с авиалайнером Ту-104,Советскому Союзу и США,0.5228557586669922,22
40076,google/gemini-2.5-flash-lite,detailed,0.7,Что стало причиной упадка города?,море продолжило отступать,море продолжило отступать от города,0.4274752140045166,35
47702,google/gemini-2.5-flash-lite,detailed,0.7,Когда в Исландии введен запрет на получение иностранных пожертвований для политических партий?,В 1978 году.,1978,0.4024689197540283,4
48941,google/gemini-2.5-flash-lite,detailed,0.7,Где Дилан навестил Боба?,В психлечебнице,в психлечебнице,0.4268827438354492,15
22331,google/gemini-2.5-flash-lite,detailed,0.7,Какими были отношения Бунина и Ходасевича до переезда во Францию?,поверхностными,поверхностными,0.5586729049682617,14
49,google/gemini-2.5-flash-lite,detailed,0.7,Какую температуру пламени может достигать ацетилен при сгорании в кислороде?,3150 °C,3150 °C,0.45711827278137207,7
31677,google/gemini-2.5-flash-lite,detailed,0.7,Чем оно дополняется?,Творческой самобытностью художника,творческой самобытностью художника,0.3658287525177002,34
16005,google/gemini-2.5-flash-lite,detailed,0.7,Как звучало первое письменное упоминание названия чешского языка на латинском языке?,lingua Sclavonica,lingua Sclavonica,0.4803943634033203,17
55523,google/gemini-2.5-flash-lite,detailed,0.7,Что такое конвекция?,Перенос тепла теплопроводностью.,перенос тепла в самой материи,0.5717098712921143,29
11530,google/gemini-2.5-flash-lite,detailed,0.7,Во сколько раз увеличился капитал в 1914 году?,в шесть раз,в шесть раз,0.39414334297180176,11
42356,google/gemini-2.5-flash-lite,detailed,0.7,Кем представлены головоногие?,примитивными наутилоидами,двужаберные и наутилоидеи,0.4440913200378418,25
33481,google/gemini-2.5-flash-lite,detailed,0.7,Какую шерсть перерабптывают По аппаратной системе прядения,короткую шерсть,короткую шерсть,0.8774356842041016,15
29396,google/gemini-2.5-flash-lite,detailed,0.7,Какова длина микровиллей?,2/3 длины жгутика,2/3 длины жгутика,0.5970151424407959,17
69135,google/gemini-2.5-flash-lite,detailed,0.7,"Что, кроме объективной информации, позволяет передавать искусство?","эмоции, настроение, чувства","эмоции, настроение, чувства",0.42528462409973145,27
68109,google/gemini-2.5-flash-lite,detailed,0.7,"Для чего Ивану Грозному нужна была крепость, сооруженная разборно-сборным способом?",в качестве опорной базы перед походом на Казань,опорная база перед походом на Казань,0.5020747184753418,36
3010,google/gemini-2.5-flash-lite,detailed,0.7,Что нужно было сделать нацистскому правительству после упразднения профсоюзов?,облегчить рабочие условия и улучшить индустриальные отношения,облегчить рабочие условия и улучшить индустриальные отношения,0.49813032150268555,61
32818,google/gemini-2.5-flash-lite,detailed,0.7,Что такое метромост?,"мост, по которому проходит линия метрополитена.","мост, по которому проходит линия метрополитена",0.5300931930541992,46
10831,google/gemini-2.5-flash-lite,detailed,0.7,Где всё чаще требуется понимание функций мозга?,"в психологической теории и практике, особенно в области искусственного интеллекта, нейропсихологии, и когнитивной нейробиологии.","искусственный интеллект, нейропсихология, когнитивная нейробиология",0.42339181900024414,67
80738,google/gemini-2.5-flash-lite,detailed,0.7,Какие народы оказали влияние на этногенез финикийцев?,индоевропейские народы моря,индоевропейские народы моря,0.5740745067596436,27
79771,google/gemini-2.5-flash-lite,detailed,0.7,На сколько данный вид морозоустойчив?,выдерживает понижения температуры до −20 °С,−20 °С,0.5104889869689941,6
7669,google/gemini-2.5-flash-lite,detailed,0.7,От чего не зависит или слабо зависит скорость накопления мутаций в данном гене?,от действия естественного отбора,действия естественного отбора,0.41280078887939453,29
65759,google/gemini-2.5-flash-lite,detailed,0.7,Как часто одиночные осы-бембексы приносят своим личинкам по несколько убитых мух?,ежедневно,ежедневно,0.5456554889678955,9
8218,google/gemini-2.5-flash-lite,detailed,0.7,Когда происходит устойчивое залегание снежного покрова в Гомеле?,с 20 декабря по 15 марта,с 20 декабря по 15 марта,0.4721343517303467,24
45169,google/gemini-2.5-flash-lite,detailed,0.7,От пожеланий кого на практике зависит исполнение требований нормативов по оборудованию подземных метрополитенов,заказчика,заказчика,0.41791796684265137,9
50269,google/gemini-2.5-flash-lite,detailed,0.7,"в какое время Федеральный резервный банк Бостона, в рамках Федеральной резервной системы, способствует ценовой стабильности и устойчивого экономического роста в Новой Англии и нации?",В настоящее время,В настоящее время,0.4084899425506592,17
82234,google/gemini-2.5-flash-lite,detailed,0.7,Что помимо громадного научного и исторического значения имеет наследие Леонардо да Винчи?,художественную ценность,художественную ценность,0.9601690769195557,23
3717,google/gemini-2.5-flash-lite,detailed,0.7,Кто выступает в поддержку фискальной политики?,представители кейнсианской мысли,кейнсианцы,0.49985337257385254,10
35675,google/gemini-2.5-flash-lite,detailed,0.7,"Какой окончательный итог подводят следователи, если видят противоположное направление в положении тела и веревки?",имело место убийство,убийство,0.5794792175292969,8
23933,google/gemini-2.5-flash-lite,detailed,0.7,Сколько лет назад вымерли животные из ряда характерных для плейстоценовой фауны родов?,10—12 тыс. лет назад,10—12 тыс. лет назад,0.5189304351806641,20
